symbol,name,yahoo_symbol
BOROSCI,Borosil Scientific Limited,BOROSCI.NS
BOSCHLTD,Bosch Limited,BOSCHLTD.NS
BPCL,Bharat Petroleum Corporation Limited,BPCL.NS
BPL,BPL Limited,BPL.NS
BRIGADE,Brigade Enterprises Limited,BRIGADE.NS
BRIGHOTEL,Brigade Hotel Ventures Limited,BRIGHOTEL.NS
BRITANNIA,Britannia Industries Limited,BRITANNIA.NS
BRNL,Bharat Road Network Limited,BRNL.NS
BROOKS,Brooks Laboratories Limited,BROOKS.NS
BSE,BSE Limited,BSE.NS
BSHSL,Bombay Super Hybrid Seeds Limited,BSHSL.NS
BSL,BSL Limited,BSL.NS
BSOFT,BIRLASOFT LIMITED,BSOFT.NS
BTML,Bodhi Tree Multimedia Limited,BTML.NS
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,BUTTERFLY.NS
BVCL,Barak Valley Cements Limited,BVCL.NS
BYKE,The Byke Hospitality Ltd,BYKE.NS
CALSOFT,California Software Company Limited,CALSOFT.NS
CAMLINFINE,Camlin Fine Sciences Limited,CAMLINFINE.NS
CAMPUS,Campus Activewear Limited,CAMPUS.NS
CAMS,Computer Age Management Services Limited,CAMS.NS
CANBK,Canara Bank,CANBK.NS
CANFINHOME,Can Fin Homes Limited,CANFINHOME.NS
CANHLIFE,Canara HSBC Life Insurance Company Limited,CANHLIFE.NS
CANTABIL,Cantabil Retail India Limited,CANTABIL.NS
CAPACITE,Capacit'e Infraprojects Limited,CAPACITE.NS
CAPITALSFB,Capital Small Finance Bank Limited,CAPITALSFB.NS
CAPLIPOINT,Caplin Point Laboratories Limited,CAPLIPOINT.NS
CAPTRUST,Capital Trust Limited,CAPTRUST.NS
CARBORUNIV,Carborundum Universal Limited,CARBORUNIV.NS
CARERATING,CARE Ratings Limited,CARERATING.NS
CARRARO,Carraro India Limited,CARRARO.NS
CARTRADE,Cartrade Tech Limited,CARTRADE.NS
CARYSIL,CARYSIL LIMITED,CARYSIL.NS
CASTROLIND,Castrol India Limited,CASTROLIND.NS
CCCL,Consolidated Construction Consortium Limited,CCCL.NS
CCHHL,Country Club Hospitality & Holidays Limited,CCHHL.NS
CCL,CCL Products (India) Limited,CCL.NS
CDSL,Central Depository Services (India) Limited,CDSL.NS
CEATLTD,CEAT Limited,CEATLTD.NS
CEIGALL,Ceigall India Limited,CEIGALL.NS
CELEBRITY,Celebrity Fashions Limited,CELEBRITY.NS
CELLO,Cello World Limited,CELLO.NS
CEMPRO,Cemindia Projects Limited,CEMPRO.NS
CENTENKA,Century Enka Limited,CENTENKA.NS
CENTEXT,Century Extrusions Limited,CENTEXT.NS
CENTRALBK,Central Bank of India,CENTRALBK.NS
CENTRUM,Centrum Capital Limited,CENTRUM.NS
CENTUM,Centum Electronics Limited,CENTUM.NS
CENTURYPLY,Century Plyboards (India) Limited,CENTURYPLY.NS
CERA,Cera Sanitaryware Limited,CERA.NS
CEREBRAINT,Cerebra Integrated Technologies Limited,CEREBRAINT.NS
CESC,CESC Limited,CESC.NS
CEWATER,Concord Enviro Systems Limited,CEWATER.NS
CGCL,Capri Global Capital Limited,CGCL.NS
CGPOWER,CG Power and Industrial Solutions Limited,CGPOWER.NS
CHALET,Chalet Hotels Limited,CHALET.NS
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS
CHEMBOND,Chembond Material Technologies Limited,CHEMBOND.NS
CHEMBONDCH,Chembond Chemicals Limited,CHEMBONDCH.NS
CHEMCON,Chemcon Speciality Chemicals Limited,CHEMCON.NS
CHEMFAB,Chemfab Alkalis Limited,CHEMFAB.NS
CHEMPLASTS,Chemplast Sanmar Limited,CHEMPLASTS.NS
CHENNPETRO,Chennai Petroleum Corporation Limited,CHENNPETRO.NS
CHEVIOT,Cheviot Company Limited,CHEVIOT.NS
CHOICEIN,Choice International Limited,CHOICEIN.NS
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS
CIEINDIA,CIE Automotive India Limited,CIEINDIA.NS
CIFL,Capital India Finance Limited,CIFL.NS
CIGNITITEC,Cigniti Technologies Limited,CIGNITITEC.NS
CINELINE,Cineline India Limited,CINELINE.NS
CINEVISTA,Cinevista Limited,CINEVISTA.NS
CIPLA,Cipla Limited,CIPLA.NS
CLEAN,Clean Science and Technology Limited,CLEAN.NS
CLEDUCATE,CL Educate Limited,CLEDUCATE.NS
CLSEL,Chaman Lal Setia Exports Limited,CLSEL.NS
CMSINFO,CMS Info Systems Limited,CMSINFO.NS
COALINDIA,Coal India Limited,COALINDIA.NS
COASTCORP,Coastal Corporation Limited,COASTCORP.NS
COCHINSHIP,Cochin Shipyard Limited,COCHINSHIP.NS
COFFEEDAY,Coffee Day Enterprises Limited,COFFEEDAY.NS
COFORGE,Coforge Limited,COFORGE.NS
COHANCE,Cohance Lifesciences Limited,COHANCE.NS
COLPAL,Colgate Palmolive (India) Limited,COLPAL.NS
COMPINFO,Compuage Infocom Limited,COMPINFO.NS
COMPUSOFT,Compucom Software Limited,COMPUSOFT.NS
COMSYN,Commercial Syn Bags Limited,COMSYN.NS
CONCOR,Container Corporation of India Limited,CONCOR.NS
CONCORDBIO,Concord Biotech Limited,CONCORDBIO.NS
CONFIPET,Confidence Petroleum India Limited,CONFIPET.NS
CONSOFINVT,Consolidated Finvest & Holdings Limited,CONSOFINVT.NS
CONTROLPR,Control Print Limited,CONTROLPR.NS
CORALFINAC,Coral India Finance & Housing Limited,CORALFINAC.NS
CORDSCABLE,Cords Cable Industries Limited,CORDSCABLE.NS
COROMANDEL,Coromandel International Limited,COROMANDEL.NS
COSMOFIRST,COSMO FIRST LIMITED,COSMOFIRST.NS
COUNCODOS,Country Condo's Limited,COUNCODOS.NS
CPCAP,CP Capital Limited,CPCAP.NS
CPEDU,Career Point Edutech Limited,CPEDU.NS
CPPLUS,Aditya Infotech Limited,CPPLUS.NS
CRAFTSMAN,Craftsman Automation Limited,CRAFTSMAN.NS
CRAMC,Canara Robeco Asset Management Company Limited,CRAMC.NS
CREATIVE,Creative Newtech Limited,CREATIVE.NS
CREATIVEYE,Creative Eye Limited,CREATIVEYE.NS
CREDITACC,CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS
CREST,Crest Ventures Limited,CREST.NS
CRISIL,CRISIL Limited,CRISIL.NS
CRIZAC,Crizac Limited,CRIZAC.NS
CROMPTON,Crompton Greaves Consumer Electricals Limited,CROMPTON.NS
CROWN,Crown Lifters Limited,CROWN.NS
CSBBANK,CSB Bank Limited,CSBBANK.NS
CSLFINANCE,CSL Finance Limited,CSLFINANCE.NS
CTE,Cambridge Technology Enterprises Limited,CTE.NS
CUB,City Union Bank Limited,CUB.NS
CUBEXTUB,Cubex Tubings Limited,CUBEXTUB.NS
CUMMINSIND,Cummins India Limited,CUMMINSIND.NS
CUPID,Cupid Limited,CUPID.NS
CURAA,Cura Technologies Limited,CURAA.NS
CYBERMEDIA,Cyber Media (India) Limited,CYBERMEDIA.NS
CYBERTECH,Cybertech Systems And Software Limited,CYBERTECH.NS
CYIENT,Cyient Limited,CYIENT.NS
CYIENTDLM,Cyient DLM Limited,CYIENTDLM.NS
DABUR,Dabur India Limited,DABUR.NS
DALBHARAT,Dalmia Bharat Limited,DALBHARAT.NS
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,DALMIASUG.NS
DAMCAPITAL,Dam Capital Advisors Limited,DAMCAPITAL.NS
DAMODARIND,Damodar Industries Limited,DAMODARIND.NS
DANGEE,Dangee Dums Limited,DANGEE.NS
DATAMATICS,Datamatics Global Services Limited,DATAMATICS.NS
DATAPATTNS,Data Patterns (India) Limited,DATAPATTNS.NS
DAVANGERE,Davangere Sugar Company Limited,DAVANGERE.NS
